Serial;From;To;Date;Operator;Flight No;Aircraft;Potential Aircraft;Boarding Pass;IPB;Duty Travel;Full ticket;Remarks
171;MAN;AMS;13/05/2018;U2;;N/A;319 / 320;;;;x;
172;AMS;BCN;14/06/2018;VY;;N/A;32S;;;;x;
173;BCN;AMS;17/06/2018;VY;;N/A;32S;;;;x;
174;AMS;ATH;12/07/2018;A3;;N/A;32S;;;;x;
175;ATH;SKG;19/07/2018;A3;;N/A;32S;;;;x;
176;SKG;IST;26/07/2018;TK;;738;;;;;x;
177;IST;SKG;28/07/2018;TK;;738;;;;;x;
178;SKG;AMS;29/07/2018;HV;;738;;;;;x;
179;AMS;CDG;02/08/2018;KL;;N/A;73G/738/739 / E70/E75/E90/E95;;;x;;
180;CDG;AMS;03/08/2018;AF;;N/A;223 / 32S;;;x;;
181;AMS;JFK;18/10/2018;DL;;N/A;332 / 333 / 338 / 339;;x;;;
182;JFK;AMS;22/10/2018;KL;;N/A;E70/E75/E90/E95 / 73G/738/739;;x;;;
183;AMS;ATH;21/12/2018;A3;;N/A;32S;;;;x;
184;ATH;SKG;21/12/2018;A3;;N/A;32S;;;;x;
185;SKG;ATH;02/01/2019;A3;;N/A;32S;;;;x;
186;ATH;AMS;02/01/2019;A3;;N/A;32S;;;;x;
187;AMS;ARN;03/02/2019;KL;;N/A;E90 / E95;;;x;;
188;ARN;AMS;06/02/2019;KL;;N/A;E90 / E95;;;x;;
189;AMS;CDG;06/03/2019;KL;;N/A;73G/738/739 / E70/E75/E90/E95;;;x;;
190;CDG;AMS;06/03/2019;AF;;N/A;223 / 32S;;;x;;
191;AMS;CDG;18/04/2019;KL;;N/A;73G/738/739 / E70/E75/E90/E95;;;x;;
192;CDG;AMS;18/04/2019;AF;;N/A;223 / 32S;;;x;;
193;AMS;CDG;15/05/2019;;;N/A;;;;x;;
194;CDG;AMS;17/05/2019;;;N/A;;;;x;;
195;AMS;TLS;04/06/2019;KL;;N/A;E90 / E95;;;x;;
196;TLS;AMS;04/06/2019;KL;;N/A;E90 / E95;;;x;;
197;AMS;ATH;03/07/2019;A3;;N/A;32S;;;;x;
198;SKG;AMS;22/07/2019;HV;;738;;;;;x;
199;AMS;CDG;23/07/2019;;;N/A;;;;x;;
200;CDG;AMS;23/07/2019;;;N/A;;;;x;;
201;AMS;CDG;07/08/2019;;;N/A;;;;x;;
202;CDG;AMS;07/08/2019;;;N/A;;;;x;;
203;AMS;CDG;25/09/2019;;;N/A;;;;x;;
204;CDG;AMS;25/09/2019;;;N/A;;;;x;;
205;AMS;SKG;12/10/2019;HV;;738;;;;;x;
206;SKG;AMS;20/10/2019;HV;;738;;;;;x;
207;AMS;SKG;22/12/2019;HV;;738;;;;;x;
208;SKG;IST;27/12/2019;TK;;738;;;;;x;
209;IST;SKG;30/12/2019;TK;;738;;;;;x;
210;SKG;AMS;06/01/2020;HV;;738;;;;;x;
211;AMS;CDG;24/02/2020;;;N/A;;;;x;;
212;CDG;AMS;25/02/2020;;;N/A;;;;x;;
213;AMS;CDG;27/02/2020;;;N/A;;;;x;;
214;CDG;AMS;27/02/2020;;;N/A;;;;x;;
215;AMS;SKG;02/07/2020;HV;;738;;;;;x;
216;SKG;AMS;15/08/2020;HV;;738;;;;;x;
217;AMS;SKG;17/12/2020;HV;;738;;;;;x;
218;SKG;AMS;04/02/2021;HV;;738;;;;;x;
219;AMS;SKG;08/07/2021;HV;;738;;;;;x;
220;SKG;AMS;22/08/2021;HV;;738;;;;;x;
221;AMS;JFK;13/11/2021;DL;47;339;;;;;x;
222;JFK;AMS;21/11/2021;KL;642;781;;;;;x;
223;AMS;SKG;21/12/2021;HV;;738;;;;;x;
224;SKG;AMS;14/01/2022;HV;;738;;;;;x;
225;AMS;BCN;17/06/2022;;;N/A;;;;;x;
226;BCN;AMS;19/06/2022;;;N/A;;;;;x;
227;AMS;ATH;21/07/2022;A3;625;32N;;;;;x;
228;ATH;SKG;02/08/2022;GQ;388;ATR;;;;;x;
229;SKG;AMS;26/08/2022;HV;;738;;;;;x;
230;AMS;AUA;06/11/2022;KL;767;772;;;;x;;
231;AUA;AMS;12/11/2022;KV;;N/A;;;;x;;
232;AMS;SKG;22/12/2022;HV;;738;;;;;x;
233;SKG;AMS;06/01/2023;HV;;738;;;;;x;
234;AMS;ARN;29/01/2023;KL;1117;N/A;E90 / E95;;;x;;
235;ARN;AMS;31/01/2023;KL;1118;N/A;E90 / E95;;;x;;
236;AMS;SKG;21/04/2023;HV;;738;;;;;x;
237;SKG;AMS;09/05/2023;HV;;738;;;;;x;
238;AMS;VCE;19/05/2023;U2;;N/A;319 / 320;;;;x;
239;VCE;AMS;21/05/2023;U2;;N/A;319 / 320;;;;x;
240;AMS;LHR;21/06/2023;KL;;N/A;73G/738/739 / E70/E75/E90/E95;;;x;;
241;LCY;AMS;21/06/2023;KL;;N/A;E90;;;x;;
242;AMS;NAP;05/09/2023;KL;;N/A;E70/E75/E90/E95 / 73G/738/739;;;x;;
243;NAP;AMS;08/09/2023;KL;;N/A;E70/E75/E90/E95 / 73G/738/739;;;x;;
244;AMS;VIE;28/09/2023;OS;;N/A;32S;;;x;;
245;VIE;SKP;28/09/2023;OS;;N/A;E95 / 32S;;;x;;
246;SKP;VIE;01/10/2023;OS;;N/A;E95 / 32S;;;x;;
247;VIE;AMS;01/10/2023;OS;;N/A;32S;;;x;;
248;AMS;SKG;22/12/2023;HV;;738;;;x;;;
249;SKG;AMS;05/01/2024;HV;;738;;;x;;;
250;AMS;TLS;24/01/2024;KL;;N/A;E90 / E95;;;x;;
251;TLS;AMS;26/01/2024;KL;;N/A;E90 / E95;;;x;;
252;AMS;NRT;21/03/2024;KL;;772;;;x;;;Jump seat
253;KIX;AMS;30/03/2024;KL;;789;;;x;;;Economy comfort
254;AMS;MUC;16/04/2024;KL;;N/A;E70/E75/E90/E95 / 73G/738/739;;;x;;
255;MUC;AMS;18/04/2024;KL;;N/A;E70/E75/E90/E95 / 73G/738/739;;;x;;
256;AMS;CPH;31/05/2024;KL;;N/A;E90 / E95;;x;;;
257;CPH;AMS;02/06/2024;KL;;N/A;E90 / E95;;x;;;
258;AMS;PRG;08/07/2024;KL;;N/A;E70/E75/E90/E95 / 73G/738/739;;;x;;
259;PRG;AMS;09/07/2024;KL;;N/A;E70/E75/E90/E95 / 73G/738/739;;;x;;
260;AMS;FLR;07/09/2024;KL;;N/A;E70/E75/E90/E95 / 73G/738/739;;;x;;
261;BLQ;AMS;13/09/2024;KL;;N/A;E70/E75/E90/E95 / 73G/738/739;;;x;;
262;AMS;FCO;27/09/2024;KL;;N/A;E70/E75/E90/E95 / 73G/738/739;;x;;;
263;FCO;AMS;28/09/2024;KL;;N/A;E70/E75/E90/E95 / 73G/738/739;;x;;;
264;AMS;SKG;25/10/2024;HV;;738;;;x;;;
265;SKG;AMS;29/10/2024;HV;;738;;;x;;;
266;AMS;LTN;27/11/2024;U2;;N/A;319 / 320;;;x;;
267;LTN;AMS;29/11/2024;U2;;N/A;319 / 320;;;x;;
268;AMS;SKG;20/12/2024;HV;;738;;;x;;;
269;SKG;AMS;02/01/2025;A3;;320;;;x;;;
270;AMS;MEX;21/03/2025;KL;;789;;;x;;;Business
271;MEX;OAX;25/03/2025;AM;;738;;;;;x;
272;OAX;MEX;29/03/2025;AM;;7M8;;;;;x;
273;MEX;AMS;31/03/2025;KL;;772;;;x;;;Premium Comfort
274;AMS;CAN;14/04/2025;CZ;308;359;;;;x;;
275;CAN;AMS;19/04/2025;CZ;307;359;;;;x;;
276;AMS;ATH;21/04/2025;KL;1955;738;;;x;;;
277;ATH;SKG;21/04/2025;A3;124;320;;;x;;;
278;SKG;AMS;05/05/2025;HV;5806;32Q;;;x;;;
279;AMS;EZE;23/05/2025;KL;701;789;;;x;;;
280;EZE;AMS;27/05/2025;KL;702;789;;;x;;;Economy comfort
281;AMS;CDG;05/06/2025;KL;1405;738;;;;x;;
282;CDG;AMS;05/06/2025;AF;1440;223;;;;x;;
283;AMS;DUB;11/06/2025;KL;1135;738;;;;x;;
284;DUB;AMS;11/06/2025;KL;1144;E75;;;;x;;
285;CGN;SKG;28/08/2025;A3;543;320;;;x;;;
286;SKG;ATH;02/09/2025;GQ;391;32N;;;;;x;
287;ATH;AMS;02/09/2025;KL;1954;738;;;x;;;
288;AMS;CDG;14/10/2025;KL;1405;738;;;;x;;
289;CDG;AMS;15/10/2025;KL;1412;738;;;;x;;
290;AMS;ATH;17/10/2025;KL;1953;32Q;;;x;;;
291;ATH;AMS;21/10/2025;KL;1954;738;;;x;;;
292;AMS;LTN;26/11/2025;U2;2512;320;;;;x;;
293;LTN;AMS;28/11/2025;U2;2519;319;;;;x;;
294;AMS;CPH;02/12/2025;KL;1267;N/A;E90 / E95;;;x;;
295;CPH;AMS;02/12/2025;KL;1276;N/A;E90 / E95;;;x;;
296;AMS;ATH;20/12/2025;HV;6867;738;;;x;;;
297;SKG;ZRH;09/01/2026;A3;534;320;;;x;;;
298;ZRH;BRU;09/01/2026;SN;2736;319;;;x;;;
299;AMS;NRT;20/02/2026;KL;861;77W;;;x;;;
300;KIX;NRT;27/02/2026;GK;230;320;;;;;;
301;NRT;AMS;27/02/2026;KL;862;772;;;x;;;
302;AMS;CAN;12/04/2026;CZ;308;359;;;;x;;
303;CAN;AMS;18/04/2026;CZ;307;359;;;;x;;
304;AMS;SKG;19/04/2026;HV;5807;738;;;x;;;
305;SKG;ATH;23/04/2026;A3;105;32N;;;x;;;
306;ATH;SKG;25/04/2026;A3;102;320;;;x;;;
307;SKG;AMS;03/05/2026;HV;5808;738;;;x;;;Operated by Go2Sky
308;AMS;LCY;15/06/2026;KL;983;E90;;;;x;;
309;LCY;AMS;16/06/2026;KL;996;E90;;;;x;;
310;SKG;AMS;10/07/2026;HV;5806;32Q;;;x;;;
311;AMS;ATH;13/07/2026;HV;6865;738;;;x;;;
312;ATH;SKG;18/07/2026;A3;120;320;;;x;;;
